,local_name,item,like,chat,date
0,        제주 서귀포시 서호동,탁상드릴,6,0,2022-09-08 00:50:09
1,        제주 제주시 노형동,신세계(이마트) 상품권 팝니다,2,1,2022-09-08 00:50:09
2,        제주 제주시 아라동,삼성냉장고255리터,2,2,2022-09-08 00:50:09
3,        제주 서귀포시 강정동,파라솔 A급~~!!,8,0,2022-09-08 00:50:09
4,        제주 제주시 조천읍,캐리어 제습기,2,8,2022-09-08 00:50:09
5,        제주 제주시 노형동,65인치 곡면TV와 티브이다이 셋트판매,1,2,2022-09-08 00:50:09
6,        제주 서귀포시 서홍동,삼성46인치 티비,6,8,2022-09-08 00:50:09
7,        제주 제주시 도남동,화분정리다이,4,6,2022-09-08 00:50:09
8,        제주 제주시 애월읍,고철 가져가실분~,1,8,2022-09-08 00:50:09
9,        제주 제주시 조천읍,골프가방,1,5,2022-09-08 00:50:09
10,        제주 서귀포시 강정동,쇼파 4인용 +스튤 헤드레스트 아쿠아텍스,0,1,2022-09-08 00:50:09
11,        제주 제주시 이도1동,신세계 상품권 총 55만원,2,9,2022-09-08 00:50:09
12,        제주 서귀포시 동홍동,"삼성냉장고,세탁기(무료)",8,8,2022-09-08 00:50:09
13,        제주 제주시 이호이동,추석선물들어온 사과세트배세트,3,5,2022-09-08 00:50:09
14,        제주 제주시 도남동,추석 선물용 사과,3,6,2022-09-08 00:50:09
15,        제주 제주시 용담삼동,전자레인지 밥솥 에어프라이기팝니다.,2,8,2022-09-08 00:50:09
16,        제주 제주시 한림읍,아이폰13 40으로 팔아요 급쳐용,2,8,2022-09-08 00:50:09
17,        제주 제주시 노형동,3인용쇼파 팝니다.,5,8,2022-09-08 00:50:09
18,        제주 제주시 조천읍,PXG정품 가방,4,9,2022-09-08 00:50:09
19,        제주 서귀포시 동홍동,lg 제습기,2,3,2022-09-08 00:50:09
20,        제주 제주시 연동,캠핑의자,6,1,2022-09-08 00:50:09
21,        제주 제주시 아라동,냉장고.가구.여행가방.의자.일괄,2,9,2022-09-08 00:50:09
22,        제주 제주시 한림읍,태진 노래방 기계 팝니다,4,1,2022-09-08 00:50:09
23,        제주 제주시 애월읍,에듀테이블,2,8,2022-09-08 00:50:09
24,        제주 제주시 한림읍,목수님 봐주세요ㅠㅠ,2,7,2022-09-08 00:50:09
25,        제주 제주시 이도2동,노형오거리부근 베스트웨스턴제주호텔 2박 숙박 양도합니다 (2인실 1박에 2만원),0,6,2022-09-08 00:50:09
26,        제주 제주시 연동,배선물세트,4,4,2022-09-08 00:50:09
27,        제주 제주시 일도2동,애플워치7 판매합니다.,9,9,2022-09-08 00:50:09
28,        제주 제주시 아라이동,띠부띠부실 뮤 팔아요~^^,1,6,2022-09-08 00:50:09
29,        제주 제주시 한림읍,벤치의자(무료드림),5,7,2022-09-08 00:50:09
30,        제주 제주시 애월읍,아이폰13프로 그라파이트 256기가 팝니다,4,1,2022-09-08 00:50:09
31,        제주 제주시 화북동,잉글레시나 퀴드 휴대용 유아차(유모차),6,7,2022-09-08 00:50:09
32,        제주 제주시 삼양동,접이식자전거 팝니다,6,5,2022-09-08 00:50:09
33,        제주 서귀포시 대포동,전기온풍기 1만원,1,0,2022-09-08 00:50:09
34,        제주 제주시 도남동,갤럭시 워치 4 44mm 급처합니다.,9,6,2022-09-08 00:50:09
35,        제주 서귀포시 남원읍,아이폰6 16gb 판매합니다.,0,0,2022-09-08 00:50:09
36,        제주 제주시 이도2동,배선물세트,0,5,2022-09-08 00:50:09
37,        제주 제주시 이도2동,그래픽카드,2,0,2022-09-08 00:50:09
38,        제주 제주시 외도동,삼성전자 냉장고,2,8,2022-09-08 00:50:09
39,        제주 제주시 화북동,싱크대 사실분잇나요,5,4,2022-09-08 00:50:09
40,        제주 서귀포시 표선면,단문냉장고,5,8,2022-09-08 00:50:09
41,        제주 서귀포시 성산읍,요리유+스팸류 일괄판매합니다,1,4,2022-09-08 00:50:09
42,        제주 제주시 아라동,일룸 컴퓨터책상 데스커 1800mm,5,4,2022-09-08 00:50:09
43,        제주 서귀포시 서홍동,22년 xmax 팔거나 대차원해요,0,6,2022-09-08 00:50:09
44,        제주 서귀포시 상효동,1인 쇼파 판매합니다 .,7,2,2022-09-08 00:50:09
45,        제주 제주시 노형동,농협상품권,0,8,2022-09-08 00:50:09
46,        제주 제주시 한림읍,사무실용 쇼파와 책상  판매합니다,0,5,2022-09-08 00:50:09
47,        제주 제주시 삼양일동,쥬얼리~새것.팔찌.포장그대로.이구요 길이17~18cm입니다.구입당시225000원주고 샀습니다.,1,5,2022-09-08 00:50:09
48,        제주 서귀포시 성산읍,알톤 쉐보레 20인치 접이식 미니벨로 자전거,6,4,2022-09-08 00:50:09
49,        제주 제주시 연동,선반 판매,5,5,2022-09-08 00:50:09
50,        제주 제주시 한림읍,자전거,2,5,2022-09-08 00:50:09
51,        제주 제주시 연동,갤럭시워치4 44mm 블랙,2,4,2022-09-08 00:50:09
52,        제주 제주시 연동,에어프라이어오븐,0,6,2022-09-08 00:50:09
53,        제주 제주시 일도2동,미니 냉장고 판매합니다,1,3,2022-09-08 00:50:09
54,        제주 제주시 노형동,아이폰13팝니다,1,6,2022-09-08 00:50:09
55,        제주 제주시 조천읍,적재함(공구함500x500x1610),1,6,2022-09-08 00:50:09
56,        제주 제주시 이도2동,신세계 상품권 25000,1,6,2022-09-08 00:50:09
57,        제주 서귀포시 대륜동,책장또는선반,6,5,2022-09-08 00:50:09
58,        제주 제주시 외도동,스팸 팝니다,2,4,2022-09-08 00:50:09
59,        제주 제주시 오라동,웨건 - 담다 상판포함,3,6,2022-09-08 00:50:09
60,        제주 서귀포시 안덕면,제습기,2,5,2022-09-08 00:50:09
61,        제주 제주시 조천읍,우크렐레,4,6,2022-09-08 00:50:09
62,        제주 제주시 오라삼동,한샘 샘키즈 수납장 있어요,9,2,2022-09-08 00:50:09
63,        제주 제주시 노형동,이사로인해 1년도 안쓴 가구정리합니다~!!^^,4,8,2022-09-08 00:50:09
64,        제주 제주시 해안동,Lg 디오스 양문형 냉장고 팝니다. (원하시면 김치냉장고도 함께 드려요),3,7,2022-09-08 00:50:09
65,        제주 서귀포시 성산읍,제주 신화월드 서머셋 9/4-9/6 판매해오ㅡ.,9,9,2022-09-08 00:50:09
66,        제주 제주시 노형동,포켓몬 띠부띠부씰,1,7,2022-09-08 00:50:09
67,        제주 제주시 노형동,한샘 2인용식탁세트팔아요(의자포함)^^,2,3,2022-09-08 00:50:09
68,        제주 서귀포시 서호동,스텐냄비세트,3,4,2022-09-08 00:50:09
69,        제주 서귀포시 중문동,골프풀세트,3,6,2022-09-08 00:50:09
70,        제주 제주시 일도2동,냉장고 팔아요,0,1,2022-09-08 00:50:09
71,        제주 서귀포시 동홍동,작업대 저렴하게 팝니다,2,5,2022-09-08 00:50:09
72,        제주 제주시 외도동,65인치 티비,2,5,2022-09-08 00:50:09
73,        제주 제주시 연동,안 입는 옷 싸게 팔아요,3,7,2022-09-08 00:50:09
74,        제주 제주시 연동,폴드3 512기가,4,4,2022-09-08 00:50:09
75,        제주 제주시 연동,자전거 팔아요~,0,5,2022-09-08 00:50:09
76,        제주 서귀포시 서귀동,스팸 0호,6,8,2022-09-08 00:50:09
77,        제주 제주시 삼도1동,타이틀리스트경량골프백팝니다,4,7,2022-09-08 00:50:09
78,        제주 제주시 건입동,오늘 체크인 서귀포 팜밸리리조트 양도합니다.. 독채풀빌라/10만원,8,1,2022-09-08 00:50:09
79,        제주 제주시 애월읍,2~3인 소파 팝니다,6,6,2022-09-08 00:50:09
80,        제주 서귀포시 중문동,프리다이빙 슈트 3mm,5,6,2022-09-08 00:50:09
81,        제주 제주시 용담2동,마끼다DF030DWE수리부품용,4,4,2022-09-08 00:50:09
82,        제주 제주시 이도1동,티비,4,8,2022-09-08 00:50:09
83,        제주 제주시 구좌읍,카페의자 팝니다~,5,7,2022-09-08 00:50:09
84,        제주 제주시 애월읍,월광보합 2P,4,4,2022-09-08 00:50:09
85,        제주 제주시 오라이동,여성용 젝시오 아이언세트 골프채 팝니다,7,1,2022-09-08 00:50:09
