,local_name,item,like,chat,date
0,        제주 제주시 화북동,제주 라마다호텔 수영장(사우나) 이용권,4,7,2022-09-05 21:46:53
1,        제주 제주시 노형동,농협상품권,1,8,2022-09-05 21:46:53
2,        제주 서귀포시 표선면,단문냉장고,4,8,2022-09-05 21:46:53
3,        제주 제주시 도남동,화분정리다이,4,6,2022-09-05 21:46:53
4,        제주 서귀포시 강정동,쿠쿠압력밥솥,5,0,2022-09-05 21:46:53
5,        제주 제주시 애월읍,고가구,4,9,2022-09-05 21:46:53
6,        제주 제주시 외도동,책장,1,0,2022-09-05 21:46:53
7,        제주 제주시 노형동,배달용으로쓰던 PCX 21년식 판매합니다,3,9,2022-09-05 21:46:53
8,        제주 제주시 도남동,LG 냉장고 판매합니다,4,5,2022-09-05 21:46:53
9,        제주 제주시 용담삼동,전자레인지 밥솥 에어프라이기팝니다.,3,8,2022-09-05 21:46:53
10,        제주 서귀포시 대정읍,원목 책장,2,6,2022-09-05 21:46:53
11,        제주 제주시 연동,캠핑의자,8,1,2022-09-05 21:46:53
12,        제주 제주시 한림읍,태진 노래방 기계 팝니다,4,1,2022-09-05 21:46:53
13,        제주 제주시 아라동,선반,1,5,2022-09-05 21:46:53
14,        제주 제주시 이도2동,노형오거리부근 베스트웨스턴제주호텔 2박 숙박 양도합니다 (2인실 1박에 2만원),0,6,2022-09-05 21:46:53
15,        제주 서귀포시 강정동,자취하시는 분 중 필요하신 분께 팝니다,3,1,2022-09-05 21:46:53
16,        제주 제주시 노형동,이사가야돼서 싸게 넘겨요~,5,6,2022-09-05 21:46:53
17,        제주 제주시 연동,카놀라유,4,7,2022-09-05 21:46:53
18,        제주 서귀포시 서귀동,2단 문짝 서랍장 팝니다 수납장,5,5,2022-09-05 21:46:53
19,        제주 제주시 애월읍,작은 물허벅,2,6,2022-09-05 21:46:53
20,        제주 제주시 애월읍,아이폰13프로 그라파이트 256기가 팝니다,4,1,2022-09-05 21:46:53
21,        제주 제주시 건입동,제습기,2,9,2022-09-05 21:46:53
22,        제주 제주시 일도2동,스텐드 에어컨 5만원에 철거해서 가져가실분,0,6,2022-09-05 21:46:53
23,        제주 서귀포시 대포동,전기온풍기 1만원,1,0,2022-09-05 21:46:53
24,        제주 서귀포시 안덕면,필요한분 계실까요무료로 드려요,2,5,2022-09-05 21:46:53
25,        제주 제주시 삼양일동,쥬얼리~새것.팔찌.포장그대로.이구요 길이17~18cm입니다.구입당시225000원주고 샀습니다.,2,5,2022-09-05 21:46:53
26,        제주 제주시 외도일동,물통 및 기름통팝니다,0,7,2022-09-05 21:46:53
27,        제주 서귀포시 대정읍,한샘 싱글 침대,0,6,2022-09-05 21:46:53
28,        제주 제주시 이도2동,그래픽카드,2,0,2022-09-05 21:46:53
29,        제주 서귀포시 안덕면,삼성 그랑데 세탁기 21kg (1년 사용),9,9,2022-09-05 21:46:53
30,        제주 제주시 화북동,싱크대 사실분잇나요,4,4,2022-09-05 21:46:53
31,        제주 제주시 아라동,디월트 배터리 20v dcb184,5,6,2022-09-05 21:46:53
32,        제주 제주시 삼도2동,아이패드11형 2세대  프로 팔아요,8,6,2022-09-05 21:46:53
33,        제주 제주시 이도2동,아이폰XR,1,5,2022-09-05 21:46:53
34,        제주 제주시 조천읍,수납장,3,3,2022-09-05 21:46:53
35,        제주 제주시 한경면,남은시멘트팔아요,2,6,2022-09-05 21:46:53
36,        제주 서귀포시 서홍동,22년 xmax 팔거나 대차원해요,0,5,2022-09-05 21:46:53
37,        제주 서귀포시 강정동,마우틴하드웨어 칠부바지와 아크테릭스 모자,0,6,2022-09-05 21:46:53
38,        제주 제주시 노형동,낚시대 1.75호 .  뜰채 동네 낚시방 뜰체,7,6,2022-09-05 21:46:53
39,        제주 서귀포시 중문동,프린터,4,6,2022-09-05 21:46:53
40,        제주 제주시 한림읍,영어.영아다중.세계명작.노부영등 모든 DVD정리.,3,4,2022-09-05 21:46:53
41,        제주 제주시 연동,갤럭시워치4 44mm 블랙,2,4,2022-09-05 21:46:53
42,        제주 제주시 외도동,스팸 팝니다,3,4,2022-09-05 21:46:53
43,        제주 제주시 오라동,웨건 - 담다 상판포함,3,6,2022-09-05 21:46:53
44,        제주 제주시 한림읍,컨테이너3×6,3,4,2022-09-05 21:46:53
45,        제주 제주시 노형동,이사로인해 1년도 안쓴 가구정리합니다~!!^^,5,8,2022-09-05 21:46:53
46,        제주 제주시 해안동,Lg 디오스 양문형 냉장고 팝니다. (원하시면 김치냉장고도 함께 드려요),4,7,2022-09-05 21:46:53
47,        제주 서귀포시 성산읍,제주 신화월드 서머셋 9/4-9/6 판매해오ㅡ.,1,9,2022-09-05 21:46:53
48,        제주 제주시 오라동,데코뷰 3단트롤리,8,5,2022-09-05 21:46:53
49,        제주 제주시 일도2동,냉장고 팔아요,0,1,2022-09-05 21:46:53
50,        제주 제주시 도남동,모니터 판매합니다,1,5,2022-09-05 21:46:53
51,        제주 제주시 삼도1동,베이스기타 팝니다,2,6,2022-09-05 21:46:53
52,        제주 서귀포시 동홍동,4단 선반,3,9,2022-09-05 21:46:53
